shiptype,Length,Draught,SOG_kmh,COG,index,Actual,Predicted,Pred_Lat,Pred_Lon,Actual_Lat,Actual_Lon,TripID,Error_hr,Predicted arrival time,Abs_Error_hr
81,68,3.49,1.2964,191.9,393698,11.55,0.6795000000000003,53.64,8.43,53.55,8.55,2052862,-10.8705,2016-02-08 14:47:46.200000000,10.8705
70,79,2.8,1.1112,205.5,372574,11.1,0.6674999999999995,53.61,8.48,53.51,8.52,2035260,-10.432500000000001,2016-09-20 07:39:03.000000000,10.432500000000001
70,216,9.5,2.0372000000000003,119.0,185113,10.683333333333334,0.25850000000000006,53.59,8.51,53.58,8.52,696693,-10.424833333333334,2016-06-22 02:21:30.600000000,10.424833333333334
70,79,2.8,6.6672,107.0,117801,11.116666666666667,0.7166805555555559,53.59,8.51,53.51,8.53,365352,-10.399986111111112,2016-08-16 10:46:00.050000001,10.399986111111112
70,101,5.38,4.63,200.1,129241,10.85,0.5531666666666668,53.6,8.5,53.58,8.52,395589,-10.296833333333332,2016-04-01 06:28:11.400000001,10.296833333333332
